service	prefix	action	access_level	table_link	action_docs_link	condition_keys	dependent_actions
API Gateway	execute-api	InvalidateCache	Write		https://docs.aws.amazon.com/apigateway/api-reference/api-gateway-caching.html		
API Gateway	execute-api	Invoke	Write		https://docs.aws.amazon.com/apigateway/api-reference/how-to-call-api.html		
API Gateway	execute-api	ManageConnections	Write		https://docs.aws.amazon.com/apigateway/api-reference/apigateway-websocket-control-access-iam.html		
API Gateway Management	apigateway	AddCertificateToDomain	Permissions management		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html		
API Gateway Management	apigateway	DELETE	Write		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html	aws:RequestTag/${TagKey}, aws:TagKeys	
API Gateway Management	apigateway	GET	Read		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html		
API Gateway Management	apigateway	PATCH	Write		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html	aws:RequestTag/${TagKey}, aws:TagKeys	
API Gateway Management	apigateway	POST	Write		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html	aws:RequestTag/${TagKey}, aws:TagKeys	
API Gateway Management	apigateway	PUT	Write		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html	aws:RequestTag/${TagKey}, aws:TagKeys	
API Gateway Management	apigateway	RemoveCertificateFromDomain	Permissions management		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html		
API Gateway Management	apigateway	SetWebACL	Permissions management		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html		
API Gateway Management	apigateway	UpdateRestApiPolicy	Permissions management		https://docs.aws.amazon.com/apigateway/latest/api/API_Operations.html		
API Gateway Management V2	apigateway	DELETE	Write		https://docs.aws.amazon.com/apigatewayv2/latest/api-reference/API_DELETE.html	aws:RequestTag/${TagKey}, aws:TagKeys	
API Gateway Management V2	apigateway	GET	Read		https://docs.aws.amazon.com/apigatewayv2/latest/api-reference/API_GET.html		
API Gateway Management V2	apigateway	PATCH	Write		https://docs.aws.amazon.com/apigatewayv2/latest/api-reference/API_PATCH.html	aws:RequestTag/${TagKey}, aws:TagKeys	
API Gateway Management V2	apigateway	POST	Write		https://docs.aws.amazon.com/apigatewayv2/latest/api-reference/API_POST.html	aws:RequestTag/${TagKey}, aws:TagKeys	
API Gateway Management V2	apigateway	PUT	Write		https://docs.aws.amazon.com/apigatewayv2/latest/api-reference/API_PUT.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Account Management	account	CloseAccount [permission only]	Write		https://docs.aws.amazon.com/accounts/latest/reference/security_account-permissions-ref.html		
Account Management	account	DeleteAlternateContact	Write		https://docs.aws.amazon.com/accounts/latest/reference/API_DeleteAlternateContact.html	account:AlternateContactTypes	
Account Management	account	DisableRegion	Write		https://docs.aws.amazon.com/accounts/latest/reference/API_DisableRegion.html	account:TargetRegion	
Account Management	account	EnableRegion	Write		https://docs.aws.amazon.com/accounts/latest/reference/API_EnableRegion.html	account:TargetRegion	
Account Management	account	GetAccountInformation [permission only]	Read		https://docs.aws.amazon.com/accounts/latest/reference/security_account-permissions-ref.html		
Account Management	account	GetAlternateContact	Read		https://docs.aws.amazon.com/accounts/latest/reference/API_GetAlternateContact.html	account:AlternateContactTypes	
Account Management	account	GetChallengeQuestions [permission only]	Read		https://docs.aws.amazon.com/accounts/latest/reference/security_account-permissions-ref.html		
Account Management	account	GetContactInformation	Read		https://docs.aws.amazon.com/accounts/latest/reference/API_GetContactInformation.html		
Account Management	account	GetRegionOptStatus	Read		https://docs.aws.amazon.com/accounts/latest/reference/API_GetRegionOptStatus.html	account:TargetRegion	
Account Management	account	ListRegions	List		https://docs.aws.amazon.com/accounts/latest/reference/API_ListRegions.html		
Account Management	account	PutAlternateContact	Write		https://docs.aws.amazon.com/accounts/latest/reference/API_PutAlternateContact.html	account:AlternateContactTypes	
Account Management	account	PutChallengeQuestions [permission only]	Write		https://docs.aws.amazon.com/accounts/latest/reference/security_account-permissions-ref.html		
Account Management	account	PutContactInformation	Write		https://docs.aws.amazon.com/accounts/latest/reference/API_PutContactInformation.html		
Activate	activate	CreateForm	Write		https://docs.aws.amazon.com/		
Activate	activate	GetAccountContact	Read		https://docs.aws.amazon.com/		
Activate	activate	GetContentInfo	Read		https://docs.aws.amazon.com/		
Activate	activate	GetCosts	Read		https://docs.aws.amazon.com/		
Activate	activate	GetCredits	Read		https://docs.aws.amazon.com/		
Activate	activate	GetMemberInfo	Read		https://docs.aws.amazon.com/		
Activate	activate	GetProgram	Read		https://docs.aws.amazon.com/		
Activate	activate	PutMemberInfo	Write		https://docs.aws.amazon.com/		
Alexa for Business	a4b	ApproveSkill	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_ApproveSkill.html		
Alexa for Business	a4b	AssociateContactWithAddressBook	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_AssociateContactWithAddressBook.html		
Alexa for Business	a4b	AssociateDeviceWithNetworkProfile	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_AssociateDeviceWithNetworkProfile.html		
Alexa for Business	a4b	AssociateDeviceWithRoom	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_AssociateDeviceWithRoom.html		
Alexa for Business	a4b	AssociateSkillGroupWithRoom	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_AssociateSkillGroupWithRoom.html		
Alexa for Business	a4b	AssociateSkillWithSkillGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_AssociateSkillWithSkillGroup.html		
Alexa for Business	a4b	AssociateSkillWithUsers	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_AssociateSkillWithUsers.html		
Alexa for Business	a4b	CompleteRegistration [permission only]	Write		https://docs.aws.amazon.com/a4b/latest/ag/manage-devices.html		
Alexa for Business	a4b	CreateAddressBook	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateAddressBook.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateBusinessReportSchedule	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateBusinessReportSchedule.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateConferenceProvider	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateConferenceProvider.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateContact	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateContact.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateGatewayGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateGatewayGroup.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateNetworkProfile	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateNetworkProfile.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateProfile	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateProfile.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateRoom	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateRoom.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateSkillGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateSkillGroup.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	CreateUser	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_CreateUser.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	DeleteAddressBook	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteAddressBook.html		
Alexa for Business	a4b	DeleteBusinessReportSchedule	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteBusinessReportSchedule.html		
Alexa for Business	a4b	DeleteConferenceProvider	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteConferenceProvider.html		
Alexa for Business	a4b	DeleteContact	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteContact.html		
Alexa for Business	a4b	DeleteDevice	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteDevice.html		
Alexa for Business	a4b	DeleteDeviceUsageData	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteDeviceUsageData.html		
Alexa for Business	a4b	DeleteGatewayGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteGatewayGroup.html		
Alexa for Business	a4b	DeleteNetworkProfile	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteNetworkProfile.html		
Alexa for Business	a4b	DeleteProfile	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteProfile.html		
Alexa for Business	a4b	DeleteRoom	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteRoom.html		
Alexa for Business	a4b	DeleteRoomSkillParameter	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteRoomSkillParameter.html		
Alexa for Business	a4b	DeleteSkillAuthorization	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteSkillAuthorization.html		
Alexa for Business	a4b	DeleteSkillGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteSkillGroup.html		
Alexa for Business	a4b	DeleteUser	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DeleteUser.html		
Alexa for Business	a4b	DisassociateContactFromAddressBook	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DisassociateContactFromAddressBook.html		
Alexa for Business	a4b	DisassociateDeviceFromRoom	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DisassociateDeviceFromRoom.html		
Alexa for Business	a4b	DisassociateSkillFromSkillGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DisassociateSkillFromSkillGroup.html		
Alexa for Business	a4b	DisassociateSkillFromUsers	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DisassociateSkillFromUsers.html		
Alexa for Business	a4b	DisassociateSkillGroupFromRoom	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_DisassociateSkillGroupFromRoom.html		
Alexa for Business	a4b	ForgetSmartHomeAppliances	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_ForgetSmartHomeAppliances.html		
Alexa for Business	a4b	GetAddressBook	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_GetAddressBook.html		
Alexa for Business	a4b	GetConferencePreference	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_GetConferencePreference.html		
Alexa for Business	a4b	GetConferenceProvider	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_GetConferenceProvider.html		
Alexa for Business	a4b	GetContact	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_GetContact.html		
Alexa for Business	a4b	GetDevice	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_GetDevice.html		
Alexa for Business	a4b	GetGateway	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_GetGateway.html		
Alexa for Business	a4b	GetGatewayGroup	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_GetGatewayGroup.html		
