service	prefix	action	action docs	access level	condition keys	dependent actions	description
AWS Account Management 	account	DeleteAlternateContact	https://docs.aws.amazon.com/accounts/latest/reference/API_DeleteAlternateContact.html	Write	account:AlternateContactTypes		Grants permission to delete the alternate contacts for an account
AWS Account Management 	account	DisableRegion	https://docs.aws.amazon.com/general/latest/gr/rande-manage.html	Write	account:TargetRegion		Grants permission to disable use of a Region
AWS Account Management 	account	EnableRegion	https://docs.aws.amazon.com/general/latest/gr/rande-manage.html	Write	account:TargetRegion		Grants permission to enable use of a Region
AWS Account Management 	account	GetAlternateContact	https://docs.aws.amazon.com/accounts/latest/reference/API_GetAlternateContact.html	Read	account:AlternateContactTypes		Grants permission to retrieve the alternate contacts for an account
AWS Account Management 	account	GetContactInformation	https://docs.aws.amazon.com/accounts/latest/reference/API_GetContactInformation.html	Read			Grants permission to retrieve the primary contact information for an account
AWS Account Management 	account	ListRegions	https://docs.aws.amazon.com/general/latest/gr/rande-manage.html	List			Grants permission to list the available Regions
AWS Account Management 	account	PutAlternateContact	https://docs.aws.amazon.com/accounts/latest/reference/API_PutAlternateContact.html	Write	account:AlternateContactTypes		Grants permission to modify the alternate contacts for an account
AWS Account Management 	account	PutContactInformation	https://docs.aws.amazon.com/accounts/latest/reference/API_PutContactInformation.html	Write			Grants permission to update the primary contact information for an account
AWS Activate 	activate	CreateForm	https://docs.aws.amazon.com/	Write			Grants permission to submit an Activate application form
AWS Activate 	activate	GetAccountContact	https://docs.aws.amazon.com/	Read			Grants permission to get the AWS account contact information
AWS Activate 	activate	GetContentInfo	https://docs.aws.amazon.com/	Read			Grants permission to get Activate tech posts and offer information
AWS Activate 	activate	GetCosts	https://docs.aws.amazon.com/	Read			Grants permission to get the AWS cost information
AWS Activate 	activate	GetCredits	https://docs.aws.amazon.com/	Read			Grants permission to get the AWS credit information
AWS Activate 	activate	GetMemberInfo	https://docs.aws.amazon.com/	Read			Grants permission to get the Activate member information
AWS Activate 	activate	GetProgram	https://docs.aws.amazon.com/	Read			Grants permission to get an Activate program
AWS Activate 	activate	PutMemberInfo	https://docs.aws.amazon.com/	Write			Grants permission to create or update the Activate member information
AWS Amplify 	amplify	CreateApp	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write	aws:RequestTag/${TagKey}, aws:TagKeys		Creates a new Amplify App
AWS Amplify 	amplify	CreateBackendEnvironment	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Creates a new backend environment for an Amplify App
AWS Amplify 	amplify	CreateBranch	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write	aws:RequestTag/${TagKey}, aws:TagKeys		Creates a new Branch for an Amplify App
AWS Amplify 	amplify	CreateDeployment	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Create a deployment for manual deploy apps. (Apps are not connected to repository)
AWS Amplify 	amplify	CreateDomainAssociation	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write	aws:RequestTag/${TagKey}, aws:TagKeys		Create a new DomainAssociation on an App
AWS Amplify 	amplify	CreateWebHook	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Create a new webhook on an App
AWS Amplify 	amplify	DeleteApp	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Delete an existing Amplify App by appId
AWS Amplify 	amplify	DeleteBackendEnvironment	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Deletes a branch for an Amplify App
AWS Amplify 	amplify	DeleteBranch	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Deletes a branch for an Amplify App
AWS Amplify 	amplify	DeleteDomainAssociation	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Deletes a DomainAssociation
AWS Amplify 	amplify	DeleteJob	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Delete a job, for an Amplify branch, part of Amplify App
AWS Amplify 	amplify	DeleteWebHook	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Delete a webhook by id
AWS Amplify 	amplify	GenerateAccessLogs	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Write			Generate website access logs for a specific time range via a pre-signed URL
AWS Amplify 	amplify	GetApp	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			Retrieves an existing Amplify App by appId
AWS Amplify 	amplify	GetArtifactUrl	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			Retrieves artifact info that corresponds to a artifactId
AWS Amplify 	amplify	GetBackendEnvironment	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			Retrieves a backend environment for an Amplify App
AWS Amplify 	amplify	GetBranch	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			Retrieves a branch for an Amplify App
AWS Amplify 	amplify	GetDomainAssociation	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			Retrieves domain info that corresponds to an appId and domainName
AWS Amplify 	amplify	GetJob	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			Get a job for a branch, part of an Amplify App
AWS Amplify 	amplify	GetWebHook	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			Retrieves webhook info that corresponds to a webhookId
AWS Amplify 	amplify	ListApps	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	List			Lists existing Amplify Apps
AWS Amplify 	amplify	ListArtifacts	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	List			List artifacts with an app, a branch, a job and an artifact type
AWS Amplify 	amplify	ListBackendEnvironments	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	List			Lists backend environments for an Amplify App
AWS Amplify 	amplify	ListBranches	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	List			Lists branches for an Amplify App
AWS Amplify 	amplify	ListDomainAssociations	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	List			List domains with an app
AWS Amplify 	amplify	ListJobs	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	List			List Jobs for a branch, part of an Amplify App
AWS Amplify 	amplify	ListTagsForResource	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	Read			List tags for an AWS Amplify Console resource
AWS Amplify 	amplify	ListWebHooks	https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	List			List webhooks on an App
